"id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR","OCSKGMlog"
"P0003",42.0282822154768,20.8181913630771,26.38,0.323348433722433,8,2.35426114412099,1.16,0.856226939015178
"P0004",42.0274661921256,20.814643275622,24.5616666666667,0.500957236535752,6.30531609195402,3.45855505029372,1.58,1.24085088632194
"P0006",42.0288549321851,20.8275731689164,19.94,0.403985439821792,14,2.07831117487201,1.17,0.731555628757659
"P0007",42.0227923655491,20.8316468671779,6.14911435565658,0.862255322067796,18.6335897884245,1.29424013671832,2.11,0.257923755923488
"P0008",42.0501379955324,20.8203639510004,3.94035195212311,1.06630339663884,31.875748076375,0.858694751406675,2.18,-0.152341773577327
"P0009",42.0204665353222,20.9352919753121,3.25854484732824,1.15501693973308,21.714058524173,0.88392840434639,2.71,-0.123379210182788
"P0010",42.0115687565782,20.9319567091023,2.28930163415046,1.28275833274819,14.46088316115,0.75358783566473,3.29,-0.282909697484113
"P0011",42.0098832379753,20.9042149531902,3.91280281751902,1.06884942437738,27.3030950474164,0.912098341956712,2.33,-0.0920074636282737
"P0012",42.0155488576618,20.9186952325476,4.55127795572862,1.04259422947997,22.9949428235233,1.09619843778838,2.41,0.0918482285133513
"P0013",42.0094515816207,20.8851646754612,7.3533919905747,0.802776703337817,26.0004816470867,1.31048672560215,1.79,0.270398614468026
"P0014",42.0212418792738,20.8721024001035,9.91299294519566,0.665480536729523,21.3590835606219,1.55635969699866,1.59,0.442349566777982
"P0015",42.0025483002752,20.8790447548202,7.69773464284083,0.781598520663505,16.3997184553145,1.5089528145065,1.97,0.411415909917424
"P0016",42.0304480614573,20.8602728361057,7.78259185700099,0.776953288165126,12.40317775571,1.58901783080307,2.05,0.463116108890655
"P0017",42.0331679247576,20.9165592512753,3.57977303251631,1.1096548499338,21.5836387613259,0.934482877551069,2.61,-0.067761974832155
"P0018",42.0925281528637,20.965125911826,7.0017807112069,0.837283468567329,38.8981681034483,1.0746239298415,1.54,0.0719707676683123
"P0019",42.078982503609,20.9924597803616,8.29248556717116,0.73599198244018,34.1128101107817,1.20636866362081,1.47,0.18761474281882
"P0020",42.0461597274214,20.9693792047947,7.06,0.805975785598783,44,0.955951759783005,1.36,-0.0450478276819367
"P0021",42.10947672435,20.979614683302,5.45288682340077,0.9455845205938,46.212684527064,0.832008880605435,1.53,-0.183912164413283
"P0022",42.1044092996547,21.0052851391419,7.9213925729443,0.756388780268836,15.6135512560462,1.51684282121195,1.93,0.416631083404378
"P0023",42.0901976823895,21.0294964854838,2.562100456621,1.24183199584626,29.5464231354642,0.672486082205453,2.63,-0.396773863325574
"P0024",42.1118688614126,21.0721437947484,2.26246232086535,1.28551694557684,33.0047945640439,0.584553330078266,2.58,-0.536907261721884
"P0025",42.0656012892707,21.0203379153355,1.47,1.41862893122789,39,0.381625368789614,2.6,-0.963315861561065
"P0026",42.0666834065042,21.005729104692,2.93071865235231,1.20849066808682,41.9454038373666,0.616843925980252,2.11,-0.48313924334746
"P0027",42.0088505506632,21.0164927772748,2.77809429403177,1.20492549023309,1.13281875441288,0.992843007705117,3.58,-0.00718272642372439
"P0028",42.0117054258629,21.0652694758744,6.71775624886342,0.828505877744624,1.98563460445579,1.63655581847617,2.45,0.492593922826043
"P0029",42.0051758814976,21.0508488064146,3.25860516777759,1.14205626010055,4.69058463742995,1.06408495034907,3.27,0.0621152282860028
"P0030",42.0194220033923,21.0084537467346,2.92768864179057,1.18441190506337,7.94737896292482,0.957602046169392,3.27,-0.0433229879722852
"P0031",42.0301527849458,21.0680418422391,2.90794201897998,1.18669998543439,1.50625860475467,1.01966278648035,3.51,0.0194719711456095
"P0032",42.0376005658918,21.0469009324974,3.7452795660255,1.08710693013101,13.741429311058,1.05361032455492,2.82,0.0522226707107291
"P0033",42.0357255562834,21.025280286714,3.25761360025099,1.14862380273129,19.9394572911635,0.898705016256746,2.76,-0.106800422652352
"P0034",42.0510376794909,21.0377778044378,3.16901668441887,1.15294694013465,18.9751934512801,0.88812297342054,2.8,-0.118645061996244
"P0035",42.0675167379077,21.0549828585367,4.27790962042917,1.03098680582317,29.1225723187723,0.937807959903615,2.2,-0.0642100845149278
"P0036",42.0775367650947,21.0732651264133,4.1722981989435,1.04258582653232,14.3296047010172,1.11799325275165,2.68,0.111535339608836
"P0037",42.0232978746858,21.0858820478958,3.66621876862445,1.09379807071958,2.56652007445881,1.17215487511389,3.2,0.158843828425922
