"ProfID","HorID","top","bottom","SOC","BLD","CRF","SAND","SILT","CLAY"
"P0659","P0659H01",0,20,1.76,NA,5,69,23,9
"P0659","P0659H02",20,58,1.33,NA,2,61,23,16
"P0659","P0659H03",58,82,1.34,NA,2,54,27,19
"P0659","P0659H04",82,100,0.82,NA,3,50,26,25
"P0659","P0659H05",100,120,0.7,NA,0,52,23,25
"P0660","P0660H01",0,27,4.07,NA,7,51,41,8
"P0660","P0660H02",27,67,1.5,NA,5,50,38,13
"P0660","P0660H03",67,100,1.27,NA,10,50,38,12
"P0660","P0660H04",100,120,1.09,NA,4,52,35,13
"P0661","P0661H01",0,25,3.49,NA,11,69,21,10
"P0661","P0661H02",25,60,2.1,NA,26,54,22,25
"P0662","P0662H01",0,23,3.03,NA,9,58,32,10
"P0662","P0662H02",25,50,1.29,NA,3,76,12,13
"P0662","P0662H03",70,100,1.17,NA,1,70,23,7
"P0663","P0663H01",0,26,2.13,NA,6,70,22,7
"P0663","P0663H02",48,70,0.89,NA,2,73,21,6
"P0663","P0663H03",70,110,0.78,NA,0,68,26,7
"P0683","P0683H01",0,10,2.74,NA,3,80,16,3
"P0683","P0683H02",10,23,2.01,NA,19,85,13,2
"P0684","P0684H01",0,8,1.68,NA,17,87,11,3
"P0684","P0684H02",8,25,1.04,NA,28,86,12,3
"P0686","P0686H01",0,20,1.93,NA,8,75,18,7
"P0686","P0686H02",22,30,1.34,NA,12,75,17,8
"P0687","P0687H01",0,10,2.74,NA,26,84,12,4
"P0687","P0687H02",10,25,1.37,NA,33,86,10,5
"P0693","P0693H01",0,6,5.55,NA,11,52,33,15
"P0707","P0707H01",0,16,9.52,NA,51,61,27,12
"P0709","P0709H01",0,27,3.29,NA,18,67,20,14
"P0710","P0710H01",0,32,0.88,NA,4,71,13,16
"P0712","P0712H01",0,12,7.47,NA,14,84,15,2
"P0713","P0713H01",0,21,4.54,NA,28,65,23,12
"P0716","P0716H01",0,14,2.5,NA,11,61,25,13
"P0718","P0718H01",1,8,2.81,NA,6,64,22,14
"P0719","P0719H01",0,12,5.61,NA,8,75,21,4
"P0721","P0721H01",0,15,4.29,NA,17,74,16,9
"P0722","P0722H01",0,22,2,NA,14,87,13,1
"P0725","P0725H01",0,23,2.23,NA,25,65,18,17
"P0727","P0727H01",0,10,2.37,NA,24,93,5,1
"P0728","P0728H01",0,37,2.86,NA,21,60,32,8
"P0729","P0729H01",0,5,3.16,NA,22,90,9,1
"P0730","P0730H01",0,29,2.76,NA,7,64,29,7
"P0731","P0731H01",0,29,1.65,NA,16,70,20,10
"P0732","P0732H01",0,20,6.86,NA,23,54,41,4
"P0733","P0733H01",0,35,3,NA,23,57,27,16
"P0734","P0734H01",0,18,4.15,NA,16,58,31,12
"P0735","P0735H01",2,11,6.37,NA,43,75,20,5
"P0736","P0736H01",0,19,2.46,NA,46,84,9,7
"P0737","P0737H01",1,20,7.25,NA,2,48,28,25
"P0738","P0738H01",0,18,1.92,NA,11,66,8,26
"P0739","P0739H01",0,33,1.59,NA,10,57,14,29
"P0740","P0740H01",0,16,1.54,NA,6,62,12,26
"P0741","P0741H01",0,11,4.5,NA,20,93,6,1
"P0742","P0742H01",0,30,1.79,NA,6,51,13,36
"P0743","P0743H01",0,35,2.03,NA,8,31,22,47
"P0744","P0744H01",0,21,4.24,NA,22,47,26,27
"P0745","P0745H01",0,40,2.63,NA,20,48,14,38
"P0746","P0746H01",0,12,7.65,NA,17,51,38,11
"P0747","P0747H01",0,37,1.43,NA,10,67,14,19
"P0748","P0748H01",0,50,2.17,NA,3,37,22,41
"P0749","P0749H01",0,17,4.03,NA,6,46,31,23
"P0750","P0750H01",0,35,1.2,NA,21,91,6,4
"P0751","P0751H01",0,35,1.31,NA,44,89,7,5
"P0752","P0752H01",0,30,3.87,NA,32,68,25,7
"P0753","P0753H01",0,27,2.72,NA,34,65,30,5
"P0754","P0754H01",0,34,1.42,NA,48,80,11,8
"P0755","P0755H01",0,27,2.83,NA,44,81,13,6
"P0756","P0756H01",0,18,1.91,NA,48,89,4,7
"P0757","P0757H01",0,20,2.32,NA,31,77,19,4
"P0759","P0759H01",0,15,2.31,NA,7,77,8,16
"P0760","P0760H01",0,25,1.9,NA,19,61,14,24
"P0761","P0761H01",0,15,2.27,NA,12,71,8,22
"P0762","P0762H01",0,30,1.37,NA,26,60,36,4
"P0763","P0763H01",0,25,2.4,NA,0,69,19,12
"P0764","P0764H01",0,24,1.26,NA,6,70,17,14
"P0765","P0765H01",0,20,1.66,NA,7,68,13,19
"P0766","P0766H01",0,21,4.68,NA,0,57,25,18
"P0769","P0769H01",0,15,4.29,NA,17,74,16,9
"P0770","P0770H01",0,8,5.95,NA,5,82,10,7
"P0771","P0771H01",0,8,5.95,NA,5,82,10,7
"P0772","P0772H01",0,45,2.65,NA,28,72,20,9
"P0773","P0773H01",0,28,1.95,NA,5,64,16,20
"P0774","P0774H01",0,22,3.36,NA,42,66,27,7
"P0775","P0775H01",0,21,4.54,NA,28,65,23,12
"P0776","P0776H01",0,19,2.72,NA,21,87,7,6
"P0777","P0777H01",0,25,3.86,NA,22,50,31,19
"P0779","P0779H01",0,25,1.47,NA,0,83,11,5
"P0780","P0780H01",0,18,2.24,NA,24,80,1,19
"P0781","P0781H01",0,21,2.57,NA,51,81,9,10
"P0782","P0782H01",0,21,2.48,NA,16,89,6,5
"P0783","P0783H01",0,20,1.9,NA,37,82,12,6
"P0784","P0784H01",0,42,3.95,NA,4,38,38,24
"P0786","P0786H01",0,33,2.54,NA,6,55,23,22
"P0787","P0787H01",0,20,4.5,NA,21,54,35,12
"P0788","P0788H01",0,9,7.55,NA,4,41,42,17
"P0789","P0789H01",0,20,2.54,NA,11,39,56,6
"P0790","P0790H01",0,28,3.3,NA,20,44,19,37
"P0791","P0791H01",0,20,6.4,NA,18,49,26,24
"P0792","P0792H01",0,30,3.66,NA,6,29,38,33
"P0793","P0793H01",0,25,3.55,NA,6,37,31,32
"P0794","P0794H01",0,21,6.72,NA,58,52,29,18
"P0795","P0795H01",0,32,2.31,NA,26,63,16,21
"P0796","P0796H01",0,12,11.48,NA,7,80,19,2
"P0797","P0797H01",0,19,2.46,NA,46,84,9,7
"P0798","P0798H01",0,35,2.81,NA,3,39,43,18
"P0799","P0799H01",0,30,1.92,NA,11,60,10,30
"P0800","P0800H01",0,29,6.69,NA,8,41,30,29
"P0801","P0801H01",0,40,1.41,NA,4,54,2,44
"P0802","P0802H01",0,30,13.6,NA,12,41,44,15
"P0803","P0803H01",0,18,6.34,NA,23,67,18,15
"P0804","P0804H01",0,32,0.88,NA,4,71,13,16
"P0805","P0805H01",0,34,3.13,NA,1,55,28,17
"P0806","P0806H01",0,37,1.1,NA,8,61,12,28
"P0807","P0807H01",0,20,4.8,NA,7,59,26,15
"P0809","P0809H01",0,17,2.54,NA,5,57,28,15
"P0809","P0809H02",17,35,1.59,NA,8,56,25,19
"P0824","P0824H01",0,6,11.89,NA,5,59,32,10
"P0837","P0837H01",0,18,3.21,NA,NA,NA,NA,NA
"P0837","P0837H02",18,56,NA,NA,NA,NA,NA,NA
"P0838","P0838H01",0,18,2.94,NA,0,21,66,13
"P0838","P0838H02",18,56,1.09,NA,NA,43,49,8
"P0839","P0839H01",0,18,3.21,NA,0,38,44,18
"P0839","P0839H02",18,45,2.31,NA,0,33,45,21
"P0839","P0839H03",45,64,2.07,NA,0,33,47,20
"P0839","P0839H04",64,85,1.45,NA,NA,40,47,14
"P0840","P0840H01",0,15,7.35,NA,NA,34,46,21
"P0840","P0840H02",15,28,6.03,NA,NA,32,45,23
"P0848","P0848H01",0,20,1.84,NA,NA,NA,NA,NA
"P0849","P0849H01",0,40,1.84,NA,NA,NA,NA,NA
"P0850","P0850H01",0,40,1.71,1.5,NA,NA,NA,NA
"P0850","P0850H02",40,90,1.17,NA,NA,NA,NA,NA
"P0851","P0851H01",0,20,2.43,NA,NA,NA,NA,NA
"P0851","P0851H02",20,40,2.1,NA,NA,NA,NA,NA
"P0851","P0851H03",40,60,1.38,NA,NA,NA,NA,NA
"P0852","P0852H01",0,15,2.71,NA,NA,NA,NA,NA
"P0852","P0852H02",36,60,1.41,NA,NA,NA,NA,NA
"P0854","P0854H01",0,30,1.91,NA,NA,NA,NA,NA
"P0854","P0854H02",30,55,2.07,NA,NA,NA,NA,NA
"P0855","P0855H01",0,16,1.9,NA,NA,NA,NA,NA
"P0855","P0855H02",16,36,1.83,NA,NA,NA,NA,NA
"P0855","P0855H03",36,56,1.89,NA,NA,NA,NA,NA
"P0857","P0857H01",3,30,2.4,NA,0,0,0,0
"P0863","P0863H01",0,18,3.03,NA,0,0,0,0
"P0864","P0864H01",0,20,2.6,NA,NA,NA,NA,NA
"P0867","P0867H01",0,27,2.07,NA,NA,NA,NA,NA
"P0867","P0867H02",27,52,1.17,NA,NA,NA,NA,NA
"P0867","P0867H03",52,82,1.6,NA,NA,NA,NA,NA
"P0868","P0868H01",0,14,2.11,1.38,NA,NA,NA,NA
"P0868","P0868H02",14,30,1.67,1.3,NA,NA,NA,NA
"P0870","P0870H01",0,20,2.09,NA,64,95,3,1
"P0875","P0875H01",0,20,2.62,NA,0,49,41,10
"P0876","P0876H01",0,20,2.41,NA,0,NA,NA,NA
"P0879","P0879H01",0,20,2.43,NA,4,78,18,4
"P0880","P0880H01",0,27,NA,NA,2,65,32,3
"P0881","P0881H01",0,30,2.04,NA,1,95,4,1
"P0888","P0888H01",0,15,1.79,1.5,NA,NA,NA,NA
"P0888","P0888H02",15,45,2.49,NA,NA,NA,NA,NA
"P0889","P0889H01",0,20,1.73,NA,NA,NA,NA,NA
"P0890","P0890H01",0,15,1.95,NA,NA,NA,NA,NA
"P0890","P0890H02",15,50,1.77,NA,NA,NA,NA,NA
"P0893","P0893H01",0,40,NA,NA,NA,NA,NA,NA
"P0893","P0893H02",40,66,NA,NA,NA,NA,NA,NA
"P0893","P0893H03",66,80,NA,NA,NA,NA,NA,NA
"P0900","P0900H01",0,20,2.38,NA,0,66,30,4
"P0901","P0901H01",0,20,3.83,NA,4,62,33,5
"P0903","P0903H01",0,25,3.92,NA,NA,NA,NA,NA
"P0903","P0903H02",25,60,2.17,NA,NA,NA,NA,NA
"P0903","P0903H03",60,100,3,NA,NA,NA,NA,NA
"P0905","P0905H01",0,20,2.02,NA,2,69,26,5
"P0906","P0906H01",0,40,3.89,NA,62,95,5,1
"P0908","P0908H01",0,17,NA,NA,NA,NA,NA,NA
"P0908","P0908H02",17,40,NA,NA,NA,NA,NA,NA
"P0908","P0908H03",40,60,NA,NA,NA,NA,NA,NA
"P0910","P0910H01",0,14,2.39,NA,NA,NA,NA,NA
"P0910","P0910H02",14,43,2.43,NA,NA,NA,NA,NA
"P0910","P0910H03",43,80,1.31,NA,NA,NA,NA,NA
"P0911","P0911H01",0,16,1.41,NA,NA,NA,NA,NA
"P0911","P0911H02",16,68,1.23,NA,NA,NA,NA,NA
"P0911","P0911H03",68,87,0.74,NA,NA,NA,NA,NA
"P0912","P0912H01",0,10,2.21,NA,NA,NA,NA,NA
"P0912","P0912H02",10,30,1.95,NA,NA,NA,NA,NA
"P0912","P0912H03",30,50,1.57,NA,NA,NA,NA,NA
"P0914","P0914H01",0,14,2.19,NA,NA,NA,NA,NA
"P0923","P0923H01",0,15,4.9,NA,NA,NA,NA,NA
"P0923","P0923H02",15,30,2.7,NA,NA,NA,NA,NA
"P0923","P0923H03",30,70,2,NA,NA,NA,NA,NA
"P0924","P0924H01",0,15,4.8,NA,NA,NA,NA,NA
"P0924","P0924H02",15,30,NA,NA,NA,NA,NA,NA
"P0924","P0924H03",30,60,NA,NA,NA,NA,NA,NA
"P0926","P0926H01",0,18,8.1,NA,NA,NA,NA,NA
"P0926","P0926H02",18,50,2.5,NA,NA,NA,NA,NA
"P0926","P0926H03",50,80,2.4,NA,NA,NA,NA,NA
"P0930","P0930H01",0,20,8.46,NA,NA,NA,NA,NA
"P0930","P0930H02",20,50,3.7,NA,NA,NA,NA,NA
"P0930","P0930H03",70,90,1.5,NA,NA,NA,NA,NA
"P0931","P0931H01",0,20,9.78,NA,NA,NA,NA,NA
"P0931","P0931H02",20,50,3.7,NA,NA,NA,NA,NA
"P0931","P0931H03",80,100,2.21,NA,NA,NA,NA,NA
"P0934","P0934H01",0,12,8.63,NA,0,0,0,0
"P0937","P0937H01",0,10,3.66,NA,0,0,0,0
"P0938","P0938H01",0,16,12.64,NA,0,49,40,10
"P0939","P0939H01",0,22,3.55,NA,1,47,45,8
"P0942","P0942H01",0,20,5.56,NA,0,0,0,0
"P0943","P0943H01",0,30,3.17,NA,0,48,43,9
"P0944","P0944H01",0,20,5.95,NA,0,51,40,9
"P0945","P0945H01",0,20,11.19,NA,0,53,41,6
"P0946","P0946H01",0,20,6.37,NA,0,60,34,6
"P0947","P0947H01",0,17,8.05,NA,0,53,42,6
"P0948","P0948H01",0,20,2.45,NA,0,40,51,9
"P0949","P0949H01",0,12,5.14,NA,3,77,20,3
"P0950","P0950H01",0,19,2.46,NA,0,56,38,6
"P0951","P0951H01",0,18,2.45,NA,0,46,51,3
"P0952","P0952H01",0,10,8.39,NA,0,54,38,9
"P0954","P0954H01",0,18,5.65,NA,0,55,41,5
"P0955","P0955H01",0,11,3.18,NA,0,43,48,9
"P0956","P0956H01",0,20,6.16,NA,0,43,47,11
"P0957","P0957H01",0,18,3.01,NA,0,49,41,10
"P0958","P0958H01",0,25,7.2,NA,0,48,41,12
"P0960","P0960H01",0,22,6.74,NA,0,0,0,0
"P0961","P0961H01",0,18,3.46,NA,0,38,54,8
"P0962","P0962H01",0,20,4.77,NA,0,40,53,6
"P0968","P0968H01",0,15,2.94,NA,0,39,54,6
"P0969","P0969H01",0,18,1.69,NA,0,54,38,7
"P0972","P0972H01",0,15,2.62,NA,0,53,41,6
"P0975","P0975H01",0,17,3.2,NA,0,55,40,5
"P0977","P0977H01",0,22,4.98,NA,0,95,5,0
"P0978","P0978H01",0,35,1.14,NA,0,66,27,7
"P0979","P0979H01",0,20,1.75,NA,0,72,13,15
"P0980","P0980H01",0,20,1.04,NA,0,69,28,4
"P0983","P0983H01",0,20,2.29,NA,0,64,31,5
"P0987","P0987H01",0,48,0.5,NA,1,79,14,7
"P0988","P0988H01",0,20,3.08,NA,1,34,53,12
"P0990","P0990H01",0,18,2.9,NA,1,51,37,13
"P0991","P0991H01",0,10,3.09,NA,1,43,40,17
"P0992","P0992H01",0,20,2.03,NA,0,73,23,4
"P0993","P0993H01",0,20,2.28,NA,2,67,29,4
"P0994","P0994H01",0,11,NA,NA,1,47,40,13
"P0995","P0995H01",0,15,NA,NA,0,30,68,1
"P0996","P0996H01",0,15,2.62,NA,0,64,30,7
"P0997","P0997H01",0,30,2.83,NA,0,44,46,10
"P0998","P0998H01",0,20,2.74,NA,0,48,44,8
"P0999","P0999H01",0,30,1.58,NA,5,83,13,4
"P1000","P1000H01",0,25,2.88,NA,NA,NA,NA,NA
"P1001","P1001H01",0,20,0.37,NA,0,64,30,6
"P1002","P1002H01",0,20,2.81,NA,7,63,29,8
"P1003","P1003H01",0,20,1.65,NA,0,48,42,10
"P1004","P1004H01",0,30,0.54,NA,9,62,36,2
"P1005","P1005H01",0,15,1.06,NA,2,71,25,4
"P1006","P1006H01",0,30,2.22,NA,1,29,56,16
"P1007","P1007H01",0,20,3.45,NA,0,25,66,9
"P1009","P1009H01",0,18,NA,NA,0,45,48,6
"P1010","P1010H01",0,40,1.01,NA,NA,NA,NA,NA
"P1011","P1011H01",0,55,0.87,NA,1,82,12,6
"P1012","P1012H01",0,15,NA,NA,0,41,50,9
"P1013","P1013H01",0,15,NA,NA,0,56,38,6
"P1014","P1014H01",0,36,8.25,NA,0,54,37,9
"P1015","P1015H01",0,45,3.3,NA,1,61,33,6
"P1016","P1016H01",0,15,3.81,NA,0,55,40,6
"P1017","P1017H01",0,10,7.37,NA,0,56,37,7
"P1018","P1018H01",0,25,6.27,NA,0,33,52,15
"P1019","P1019H01",0,14,10.11,NA,0,53,35,12
"P1020","P1020H01",0,20,9.95,NA,0,41,47,11
"P1021","P1021H01",0,20,9.71,NA,0,24,61,15
"P1023","P1023H01",0,11,10.29,NA,0,66,30,4
"P1027","P1027H01",0,10,1.17,NA,0,68,29,2
"P1028","P1028H01",0,12,1.38,NA,0,77,19,4
"P1029","P1029H01",0,15,NA,NA,8,74,25,2
"P1030","P1030H01",0,20,2.67,NA,0,NA,67,5
"P1031","P1031H01",0,20,2.15,NA,0,21,69,10
"P1032","P1032H01",0,20,1.04,NA,0,53,41,6
"P1033","P1033H01",0,20,5.74,NA,0,53,43,4
"P1034","P1034H01",0,17,1.06,NA,0,64,26,10
"P1035","P1035H01",0,25,NA,NA,0,98,0,2
"P1036","P1036H01",0,16,1.31,NA,0,56,39,4
"P1037","P1037H01",0,30,2.21,NA,0,78,17,5
"P1038","P1038H01",0,20,1.17,NA,4,59,37,4
"P1039","P1039H01",0,13,2.24,NA,0,66,29,6
"P1040","P1040H01",0,16,2.48,NA,1,56,38,6
"P1042","P1042H01",0,28,0.69,NA,2,91,6,4
"P1043","P1043H01",0,30,0.56,NA,0,NA,NA,NA
"P1049","P1049H01",0,15,2.9,NA,0,NA,NA,NA
"P1053","P1053H01",0,30,3.64,NA,NA,NA,NA,NA
"P1053","P1053H02",30,60,3.51,NA,NA,NA,NA,NA
"P1053","P1053H03",60,90,3.25,NA,NA,NA,NA,NA
"P1055","P1055H01",0,20,2.16,NA,0,62,17,21
"P1056","P1056H01",0,14,1.83,NA,0,88,11,1
"P1058","P1058H01",25,60,0.63,NA,0,NA,NA,NA
"P1059","P1059H01",0,12,5.14,NA,0,NA,NA,NA
"P1061","P1061H01",0,45,1.02,NA,1,53,9,38
"P1064","P1064H01",0,20,2.7,NA,14,69,19,13
"P1066","P1066H01",0,27,2.1,NA,0,41,55,5
"P1067","P1067H01",0,28,2.1,NA,1,54,33,14
"P1067","P1067H01",0,28,2.1,NA,0,65,27,7
"P1067","P1067H01",0,28,3.06,NA,1,54,33,14
"P1067","P1067H01",0,28,3.06,NA,0,65,27,7
"P1070","P1070H01",0,12,2,NA,1,59,35,7
"P1072","P1072H01",0,15,3.2,NA,3,41,36,22
"P1076","P1076H01",0,50,3,NA,4,44,24,31
"P1077","P1077H01",0,20,8.5,NA,0,36,32,31
"P1078","P1078H01",0,10,1.3,NA,0,45,33,22
"P1084","P1084H01",0,15,5.1,NA,1,59,35,6
"P1090","P1090H01",0,18,3.64,NA,0,0,0,0
"P1091","P1091H01",0,20,3.34,NA,0,26,62,12
"P1093","P1093H01",0,35,6.07,NA,0,49,39,12
"P1094","P1094H01",0,20,8.64,NA,0,39,42,19
"P1095","P1095H01",0,6,13.78,NA,0,59,24,16
"P1096","P1096H01",0,15,11.46,NA,0,38,26,36
"P1097","P1097H01",0,7,8.77,NA,1,54,25,21
"P1098","P1098H01",0,8,NA,NA,0,50,27,24
"P1099","P1099H01",0,25,5.14,NA,0,45,42,13
"P1100","P1100H01",0,20,2.45,NA,0,37,54,9
"P1101","P1101H01",3,20,NA,NA,0,36,50,14
"P1102","P1102H01",0,30,0,NA,0,19,64,16
"P1104","P1104H01",0,20,NA,NA,0,30,43,27
"P1105","P1105H01",0,15,3.3,NA,0,48,42,10
"P1107","P1107H01",0,10,7.87,NA,1,88,12,NA
"P1108","P1108H01",0,18,3.96,NA,0,32,51,17
"P1109","P1109H01",0,25,0.69,NA,0,70,22,7
"P1110","P1110H01",0,45,1.6,NA,0,42,49,8
"P1111","P1111H01",0,18,2.69,NA,0,50,41,10
"P1112","P1112H01",0,10,6.07,NA,0,59,37,4
"P1113","P1113H01",0,19,5.57,NA,0,61,35,3
"P1117","P1117H01",0,15,NA,NA,0,60,21,19
"P1119","P1119H01",0,15,NA,NA,0,50,44,5
"P1122","P1122H01",0,22,NA,NA,0,55,38,8
"P1123","P1123H01",0,34,NA,NA,0,35,49,17
"P1125","P1125H01",0,50,3.28,NA,5,43,43,14
"P1126","P1126H01",0,45,2.25,NA,36,75,14,11
"P1127","P1127H01",0,50,3,NA,4,44,24,31
"P1128","P1128H01",0,15,2.18,NA,0,37,44,18
"P1129","P1129H01",0,22,3.16,NA,NA,NA,NA,NA
"P1137","P1137H01",0,18,2.82,NA,11,54,35,11
"P1138","P1138H01",0,18,1.71,NA,13,66,28,6
"P1139","P1139H01",0,16,1.61,NA,10,67,26,8
"P1139","P1139H01",0,16,1.61,NA,10,67,26,8
"P1140","P1140H01",0,16,5.34,NA,1,38,28,34
"P1141","P1141H01",0,18,2.02,NA,10,51,39,9
"P1142","P1142H01",0,23,2.81,NA,25,63,28,9
"P1143","P1143H01",0,18,2.21,NA,18,58,31,10
"P1144","P1144H01",0,20,4.37,NA,14,66,29,5
"P1145","P1145H01",0,15,3.91,NA,10,56,29,15
"P1146","P1146H01",0,10,7.11,NA,16,72,22,5
"P1147","P1147H01",0,14,6.99,NA,11,49,40,10
"P1148","P1148H01",0,12,2.19,NA,12,63,24,13
"P1149","P1149H01",0,14,2,NA,0,31,52,17
"P1150","P1150H01",0,6,5,NA,25,81,19,1
"P1151","P1151H01",0,5,6.18,NA,4,40,43,16
"P1152","P1152H01",0,8,NA,NA,NA,NA,NA,NA
"P1153","P1153H01",0,16,2.14,NA,24,59,26,15
"P1154","P1154H01",0,14,4.11,NA,8,39,55,6
"P1155","P1155H01",0,15,6.91,NA,8,62,27,10
"P1156","P1156H01",0,23,6.4,NA,14,68,24,8
"P1157","P1157H01",0,18,2.59,NA,18,46,36,17
"P1158","P1158H01",0,10,6.77,NA,3,67,27,7
"P1159","P1159H01",0,14,4.09,NA,11,64,28,8
"P1160","P1160H01",0,18,2.82,NA,5,47,37,16
"P1161","P1161H01",0,10,1.97,NA,35,72,17,12
"P1162","P1162H01",0,6,4.65,NA,2,38,43,20
"P1163","P1163H01",0,25,NA,NA,2,38,33,29
"P1164","P1164H01",0,15,2.41,NA,13,82,15,3
"P1165","P1165H01",0,10,8.47,NA,30,88,11,0
"P1166","P1166H01",0,10,5.68,NA,22,85,14,2
"P1167","P1167H01",0,12,3.96,NA,26,90,10,1
"P1168","P1168H01",0,8,6.94,NA,7,77,21,1
"P1169","P1169H01",0,10,6.05,NA,28,91,8,1
"P1170","P1170H01",0,12,5.67,NA,29,85,15,0
"P1171","P1171H01",0,12,5.36,NA,21,89,10,0
"P1172","P1172H01",0,10,5.1,NA,21,58,32,10
"P1173","P1173H01",0,5,2.03,NA,18,80,14,6
"P1174","P1174H01",0,14,2.75,NA,4,38,38,24
"P1175","P1175H01",0,12,1.72,NA,21,77,18,5
"P1176","P1176H01",0,25,5.49,NA,8,39,30,32
"P1177","P1177H01",0,15,5.45,NA,2,77,17,6
"P1178","P1178H01",1,12,1.13,NA,0,48,37,15
"P1179","P1179H01",0,18,6.77,NA,18,75,15,10
"P1180","P1180H01",0,20,1.75,NA,11,64,27,9
"P1181","P1181H01",0,25,2.19,NA,2,46,30,24
"P1182","P1182H01",0,25,3.05,NA,5,53,34,13
"P1183","P1183H01",0,15,3.24,NA,1,55,43,1
"P1184","P1184H01",0,15,4.81,NA,21,62,30,8
"P1185","P1185H01",0,12,2.48,NA,26,82,17,0
"P1186","P1186H01",0,18,2.01,NA,2,54,34,12
"P1187","P1187H01",0,12,3.42,NA,2,40,45,15
"P1188","P1188H01",0,20,2.56,NA,6,57,24,20
"P1189","P1189H01",0,20,3.33,NA,4,40,38,22
"P1190","P1190H01",0,18,2.62,NA,0,41,50,9
"P1191","P1191H01",0,20,3.63,NA,14,61,20,19
"P1192","P1192H01",0,18,2.92,NA,4,48,34,18
"P1193","P1193H01",0,14,5.11,NA,13,58,31,11
"P1194","P1194H01",0,12,2.72,NA,43,67,16,17
"P1195","P1195H01",0,5,2.38,NA,10,56,34,10
"P1196","P1196H01",0,17,2.71,NA,8,59,30,11
"P1197","P1197H01",0,20,2.26,NA,6,42,42,16
"P1200","P1200H01",0,18,5.32,NA,4,51,37,12
"P1201","P1201H01",0,12,3.78,NA,17,73,22,5
"P1202","P1202H01",0,16,3.49,NA,43,69,27,4
"P1203","P1203H01",0,18,2.86,NA,1,45,30,26
"P1204","P1204H01",0,26,4.11,NA,25,49,18,33
"P1205","P1205H01",0,15,5.08,NA,2,32,43,26
"P1206","P1206H01",0,24,2.71,NA,0,27,26,47
"P1265","P1265H01",0,25,1.59,NA,13,46,47,8
"P1266","P1266H01",0,20,2.52,1.2,16,68,21,13
"P1266","P1266H02",20,35,2.38,NA,5,60,29,11
"P1266","P1266H03",35,55,1.6,1.18,3,54,32,15
"P1266","P1266H04",55,120,0.63,NA,NA,48,41,11
"P1276","P1276H01",0,50,2.78,1.05,11,52,39,9
"P1276","P1276H02",50,76,1.75,1.45,4,56,31,14
"P1276","P1276H03",76,100,1.19,1.22,2,43,35,22
"P1277","P1277H01",0,28,1.93,1.36,8,59,22,18
"P1277","P1277H02",28,48,1.6,1.43,9,69,15,16
"P1277","P1277H03",48,63,1.26,NA,25,65,21,13
"P1277","P1277H04",63,120,0.86,NA,54,63,23,14
"P1278","P1278H01",0,40,2.32,1.27,0,50,39,12
"P1278","P1278H02",40,68,1.8,1.48,1,46,39,16
"P1278","P1278H03",68,120,0.89,1.18,0,47,39,14
"P1279","P1279H01",0,23,2.18,1.3,5,52,23,26
"P1279","P1279H02",23,39,1.83,1.33,18,51,28,21
"P1279","P1279H03",39,52,1.23,NA,22,54,29,17
"P1279","P1279H04",52,120,0.95,NA,24,64,21,15
"P1280","P1280H01",0,30,1.89,1.18,3,66,10,24
"P1280","P1280H02",30,50,1.67,1.24,0,69,16,15
"P1280","P1280H03",50,66,1.18,NA,0,62,23,16
"P1280","P1280H04",66,120,0.91,NA,1,45,33,23
"P1281","P1281H01",0,25,NA,NA,NA,NA,NA,NA
"P1281","P1281H02",25,55,NA,NA,NA,NA,NA,NA
"P1284","P1284H01",0,34,1.35,1.37,1,36,53,12
"P1284","P1284H02",34,120,0.78,1.49,NA,62,25,13
"P1285","P1285H01",0,38,1.98,1.26,14,45,43,13
"P1285","P1285H02",38,54,1.4,1.4,1,34,46,20
"P1285","P1285H03",54,120,0.94,1.5,NA,63,25,12
"P1286","P1286H01",0,30,1.97,1.29,12,51,27,22
"P1286","P1286H01",0,30,1.97,1.29,5,58,13,29
"P1286","P1286H01",0,30,1.97,1.18,12,51,27,22
"P1286","P1286H01",0,30,1.97,1.18,5,58,13,29
"P1286","P1286H01",0,30,2.01,1.18,12,51,27,22
"P1286","P1286H01",0,30,2.01,1.18,5,58,13,29
"P1286","P1286H01",0,30,2.01,1.29,12,51,27,22
"P1286","P1286H01",0,30,2.01,1.29,5,58,13,29
"P1286","P1286H02",53,64,1.06,NA,60,70,18,12
"P1286","P1286H03",64,120,0.69,NA,4,49,28,24
"P1287","P1287H02",30,70,1.26,1.19,4,50,30,20
"P1287","P1287H03",70,120,0.28,NA,16,57,19,24
"P1287","P1287H04",0,30,2.3,1.25,6,45,32,24
"P1453","P1453H01",0,28,2.1,1.23,0,49,25,27
"P1453","P1453H02",28,57,1.64,1.27,0,54,20,26
"P1453","P1453H03",57,77,1.06,NA,2,54,20,26
"P1453","P1453H04",77,120,0.83,NA,2,48,26,27
"P1457","P1457H01",0,12,1.79,1.33,NA,54,33,13
"P1457","P1457H02",12,35,0.67,1.41,NA,61,26,14
"P1457","P1457H03",35,60,0.4,1.45,NA,65,24,11
"P1457","P1457H04",60,80,0.2,1.46,NA,69,21,10
"P1457","P1457H05",80,110,0.06,1.49,NA,59,29,12
"P1458","P1458H01",0,20,2.13,1.12,0,39,31,31
"P1458","P1458H02",20,50,1.76,1.15,5,34,34,32
"P1458","P1458H03",50,90,1.6,NA,0,37,26,38
"P1458","P1458H04",90,130,0.48,NA,1,34,39,27
