"id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR","OCSKGMlog"
"P0003",42.0282822154768,20.8181913630771,26.38,0.730448285788492,8,5.31830631503171,2.16,1.67115489082952
"P0007",42.0227923655491,20.8316468671779,6.14911435565658,1.16533551414808,18.6335897884245,1.74916171179648,2.85,0.559136651337229
"P0008",42.0501379955324,20.8203639510004,3.94035195212311,1.29625820001075,31.875748076375,1.04387748958293,2.65,0.0429421354319413
"P0009",42.0204665353222,20.9352919753121,3.25854484732824,1.34462965138917,21.714058524173,1.0290380178008,3.16,0.0286244025258771
"P0010",42.0115687565782,20.9319567091023,2.28930163415046,1.4129644627769,14.46088316115,0.830080619389937,3.63,-0.186232451113376
"P0011",42.0098832379753,20.9042149531902,3.91280281751902,1.29802860034846,27.3030950474164,1.10766746670597,2.83,0.102256422978508
"P0012",42.0155488576618,20.9186952325476,4.55127795572862,1.27203426419382,22.9949428235233,1.33743496155552,2.94,0.290753571731318
"P0013",42.0094515816207,20.8851646754612,7.3533919905747,1.11679499869389,26.0004816470867,1.82310350427713,2.49,0.600540270978431
"P0015",42.0025483002752,20.8790447548202,7.69773464284083,1.10075855237726,16.3997184553145,2.12512264518071,2.77,0.753829516090072
"P0018",42.0925281528637,20.965125911826,7.0017807112069,1.13673892940264,38.8981681034483,1.45896449813909,2.09,0.377726936235061
"P0021",42.10947672435,20.979614683302,5.45288682340077,1.21370035611373,46.212684527064,1.06792090256138,1.96,0.065713676523214
"P0024",42.1118688614126,21.0721437947484,2.26246232086535,1.41468749219132,33.0047945640439,0.643290068968658,2.84,-0.441159538320504
"P0025",42.0656012892707,21.0203379153355,1.47,1.47726206158845,39,0.397398267187909,2.7,-0.922816309246576
"P0026",42.0666834065042,21.005729104692,2.93071865235231,1.36948165980761,41.9454038373666,0.699017763149982,2.39,-0.358079124839479
"P0029",42.0051758814976,21.0508488064146,3.25860516777759,1.34098094772275,4.69058463742995,1.24942850455633,3.84,0.22268625041315
"P0030",42.0194220033923,21.0084537467346,2.92768864179057,1.36424598691521,7.94737896292482,1.10299866369419,3.77,0.0980325287513105
"P0031",42.0301527849458,21.0680418422391,2.90794201897998,1.36559060351751,1.50625860475467,1.17337316681971,4.04,0.159882649359711
"P0032",42.0376005658918,21.0469009324974,3.7452795660255,1.30875822077237,13.741429311058,1.26843195966538,3.39,0.237781460199518
"P0033",42.0357255562834,21.025280286714,3.25761360025099,1.34259188885823,19.9394572911635,1.05046932027124,3.23,0.049237035994243
"P0037",42.0232978746858,21.0858820478958,3.66621876862445,1.31344740753922,2.56652007445881,1.40753931019458,3.84,0.341843009731986
"P0038",42.0394913265711,21.1023668641024,3.89127215417367,1.29880142570599,9.97547087911706,1.36494916162754,3.51,0.311117183714434
"P0039",42.0572988557835,21.122838010989,10.1529502360818,1.01386435077985,1.12002475274364,3.05352664544187,3.03,1.11629719983976
"P0042",42.1169751390876,21.095247630642,3.64724146216972,1.31484123522085,16.8506509432712,1.19623895352863,3.28,0.179182429492551
"P0043",42.1363028761948,21.1181155199027,4.56083988638498,1.26034275428733,16.2914021297523,1.44352668711013,3.17,0.367089207729746
