"ProfID","X","Y","soiltype","Land.Cover"
"P0000",483425,4654678,"Cambisol",25
"P0001",482426,4653140,"Cambisol",24
"P0002",484490,4654364,"Cambisol",25
"P0003",485379,4653815,"Rendzic Leptosols",26
"P0004",485085,4653725,"Rendzic Leptosols",26
"P0005",485997,4653656,"Complex of Rendzic Leptosol and Leptosol",27
"P0006",486156,4653877,"Complex of Rendzic Leptosol and Leptosol",27
"P0007",486492,4653203,"Complex of Mollic and Umbric Leptosol",27
"P0008",485564,4656242,"Complex of Mollic and Umbric Leptosol",22
"P0009",495075,4652933,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0010",494798,4651945,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20
"P0011",492500,4651760,"Cambisol",24
"P0012",493700,4652388,"Cambisol",23
"P0013",490922,4651714,"Complex of Mollic and Umbric Leptosol",26
"P0014",489842,4653025,"Complex of Mollic and Umbric Leptosol",26
"P0015",490414,4650948,"Complex of Mollic and Umbric Leptosol",26
"P0016",488864,4654049,"Complex of Mollic and Umbric Leptosol",25
"P0017",493525,4654345,"Cambisol",18
"P0018",497549,4660935,"Complex of Mollic and Umbric Leptosol",26
"P0019",499810,4659430,"Cambisol",23
"P0020",497899,4655785,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0021",498748,4662817,"Complex of Mollic and Umbric Leptosol",25
"P0022",500871,4662254,"Cambisol",23
"P0023",502874,4660676,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0024",506400,4663085,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21
"P0025",502117,4657944,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21
"P0026",500908,4658064,"Cambisol",21
"P0027",501800,4651641,"Fluvisol",20
"P0028",505840,4651960,"Fluvisol",20
"P0029",504646,4651234,"Fluvisol",2
"P0030",501134,4652815,"Fluvisol",20
"P0031",506068,4654009,"Fluvisol",20
"P0032",504317,4654835,"Fluvisol",20
"P0033",502527,4654626,"Fluvisol",20
"P0034",503561,4656327,"Fluvisol",12
"P0035",504984,4658158,"Fluvisol",12
"P0036",506496,4659272,"Fluvisol",20
"P0037",507546,4653249,"Fluvisol",20
"P0038",508909,4655049,"Fluvisol",22
"P0039",510601,4657029,"Gleysol",21
"P0040",509586,4658860,"Fluvisol",12
"P0041",508034,4661516,"Fluvisol",21
"P0042",508310,4663654,"Fluvisol",21
"P0043",510198,4665803,"Fluvisol",20
"P0044",509896,4651896,"Rendzic Leptosols",23
"P0045",511692,4653172,"Rendzic Leptosols",29
"P0046",515813,4651469,"Rendzic Leptosols",25
"P0047",515292,4656647,"Rendzic Leptosols",28
"P0048",518569,4652127,"Rendzic Leptosols",18
"P0049",520456,4654252,"Rendzic Leptosols",20
"P0050",526190,4652490,"Complex of Vertisol and Humic Calcaric Regosol",23
"P0051",525412,4654968,"Complex of Vertisol and Humic Calcaric Regosol",20
"P0052",525848,4656668,"Complex of Vertisol and Humic Calcaric Regosol",21
"P0056",518943,4660390,"Complex of Mollic and Umbric Leptosol",28
"P0057",517211,4661479,"Rendzic Leptosols",23
"P0058",511862,4662536,"Chromic Luvisol on saprolite",28
"P0059",515096,4663925,"Complex of Mollic and Umbric Leptosol",28
"P0060",515563,4665159,"Complex of Mollic and Umbric Leptosol",32
"P0061",514775,4667336,"Complex of Mollic and Umbric Leptosol",27
"P0062",512048,4667938,"Chromic Luvisol on hard limestones",26
"P0063",508430,4665729,"Complex of Cambisol and Mollic and Umbric Leptosol",21
"P0064",510814,4667596,"Chromic Luvisol on hard limestones",22
"P0066",513106,4669410,"Chromic Luvisol on hard limestones",23
"P0067",528413,4654503,"Complex of Vertisol and Humic Calcaric Regosol",20
"P0068",528210,4655944,"Complex of Vertisol and Humic Calcaric Regosol",20
"P0069",528008,4657879,"Complex of Vertisol and Humic Calcaric Regosol",19
"P0071",531839,4660193,"Rendzic Leptosols",26
"P0072",529702,4661305,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",26
"P0073",530676,4663366,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",21
"P0074",531030,4664391,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",24
"P0075",532484,4663822,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",27
"P0076",531384,4668032,"Complex of Cambisol and Mollic and Umbric Leptosol",23
"P0077",531346,4669385,"Complex of Cambisol and Mollic and Umbric Leptosol",23
"P0078",533104,4670877,"Complex of Cambisol and Mollic and Umbric Leptosol",25
"P0079",535114,4663872,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",18
"P0080",534937,4665478,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",23
"P0081",535809,4664441,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",23
"P0082",536669,4665819,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",22
"P0083",539274,4662254,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",29
"P0084",539919,4663050,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",29
"P0085",542270,4660711,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0086",542979,4658992,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0087",543965,4658195,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",29
"P0088",547594,4655628,"Complex of Chromic Luvisol on saprolite and Vertisol",18
"P0089",548377,4660231,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",25
"P0090",545381,4663455,"Complex of Cambisol and Mollic and Umbric Leptosol",23
"P0091",546380,4662292,"Complex of Cambisol and Mollic and Umbric Leptosol",23
"P0092",547707,4663076,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",28
"P0093",547543,4668942,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",27
"P0094",547164,4670738,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0095",546076,4672521,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0096",545672,4674354,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0097",543775,4673267,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0098",542890,4676213,"Complex of Cambisol and Mollic and Umbric Leptosol",23
"P0099",548289,4672445,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",26
"P0100",535733,4675530,"Complex of Cambisol and Mollic and Umbric Leptosol",26
"P0101",549809,4672355,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23
"P0102",551593,4671190,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",29
"P0103",553805,4674758,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",30
"P0104",553698,4677483,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",27
"P0105",548719,4663552,"Chromic Luvisol on saprolite",21
"P0106",549457,4655069,"Complex of Chromic Luvisol on saprolite and Vertisol",23
"P0107",550728,4656362,"Complex of Chromic Luvisol on saprolite and Vertisol",19
"P0108",550771,4654354,"Complex of Vertisol and Humic Calcaric Regosol",15
"P0109",552662,4654225,"Complex of Vertisol and Humic Calcaric Regosol",26
"P0110",550920,4651993,"Complex of Vertisol and Humic Calcaric Regosol",18
"P0111",550226,4652772,"Complex of Vertisol and Humic Calcaric Regosol",19
"P0112",556742,4652997,"Complex of Vertisol and Humic Calcaric Regosol",19
"P0114",558206,4656223,"Complex of Vertisol and Humic Calcaric Regosol",20
"P0115",560225,4654685,"Complex of Vertisol and Humic Calcaric Regosol",18
"P0116",561486,4653648,"Fluvisol",14
"P0117",563323,4652954,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol",25
"P0118",564883,4651950,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol",29
"P0119",568248,4652057,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol",29
"P0120",567458,4654065,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol",21
"P0122",564669,4656864,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol",23
"P0123",567137,4660347,"Complex of Vertisol and Humic Calcaric Regosol",20
"P0124",568206,4660603,"Complex of Vertisol and Humic Calcaric Regosol",16
"P0125",563772,4661255,"Complex of Vertisol and Humic Calcaric Regosol",20
"P0126",564669,4675592,"Complex of Vertisol and Humic Calcaric Regosol",18
"P0127",563259,4677429,"Complex of Vertisol and Humic Calcaric Regosol",23
"P0128",562843,4678476,"Complex of Vertisol and Humic Calcaric Regosol",20
"P0129",565481,4676831,"Complex of Vertisol and Humic Calcaric Regosol",18
"P0130",566678,4678060,"Complex of Vertisol and Humic Calcaric Regosol",24
"P0131",549629,4658251,"Fluvisol",12
"P0132",550003,4658936,"Fluvisol",15
"P0142",551197,4658950,"Vertisol",13
"P0143",551387,4660215,"Vertisol",4
"P0148",553782,4661811,"Chromic Luvisol on saprolite",12
"P0153",553012,4663280,"Chromic Luvisol on saprolite",12
"P0164",556084,4657926,"Chromic Luvisol on saprolite",17
"P0165",557242,4659671,"Vertisol",13
"P0168",552729,4661387,"Chromic Luvisol on saprolite",12
"P0175",551536,4668168,"Fluvisol",12
"P0179",552948,4666543,"Chromic Luvisol on saprolite",12
"P0197",557977,4662969,"Vertisol",12
"P0231",564475,4672737,"Vertisol",21
"P0246",558627,4668309,"Vertisol",11
"P0249",561953,4669086,"Populated Site",18
"P0255",562992,4667207,"Vertisol",12
"P0260",563564,4664961,"Vertisol",12
"P0280",567081,4664354,"Complex of Regosol and Leptosol",12
"P0283",567003,4667899,"Complex of Regosol and Leptosol",12
"P0293",565782,4670378,"Complex of Regosol and Leptosol",13
"P0295",565570,4669291,"Complex of Regosol and Leptosol",19
"P0299",567569,4665173,"Complex of Regosol and Leptosol",12
"P0306",560717,4659607,"Vertisol",10
"P0307",559425,4660010,"Vertisol",12
"P0313",555491,4655800,"Complex of Vertisol and Humic Calcaric Regosol",12
"P0314",554142,4656076,"Chromic Luvisol on saprolite",12
"P0319",555540,4657411,"Vertisol",12
"P0320",574091,4679606,"Cambisol",18
"P0321",575083,4681439,"Cambisol",21
"P0322",577055,4680962,"Cambisol",29
"P0323",576464,4679555,"Regosol",20
"P0324",579252,4680133,"Cambisol",18
"P0325",581901,4680949,"Complex of Cambisol and Regosol",25
"P0326",585430,4681012,"Cambisol",23
"P0327",587049,4682330,"Cambisol",23
"P0328",590804,4683423,"Cambisol",23
"P0329",591042,4681903,"Cambisol",19
"P0330",594181,4680849,"Complex of Mollic and Umbric Leptosol",23
"P0331",602042,4681112,"Complex of Cambisol and Regosol",20
"P0332",604365,4680472,"Complex od Cambisol and Leptosol",27
"P0333",601376,4683573,"Complex of Cambisol and Regosol",23
"P0334",600033,4685582,"Complex of Cambisol and Regosol",23
"P0335",605231,4687591,"Cambisol",23
"P0336",607981,4680849,"Complex of Cambisol, Leptosol and Regosol",29
"P0337",609438,4681476,"Complex of Cambisol, Leptosol and Regosol",24
"P0338",608847,4683598,"Cambisol",23
"P0339",606637,4685369,"Cambisol",18
"P0340",572317,4676899,"Vertisol",22
"P0341",571877,4674990,"Vertisol",19
"P0342",575883,4676108,"Regosol",19
"P0343",577867,4675668,"Vertisol",20
"P0344",580516,4675505,"Vertisol",29
"P0345",578708,4674162,"Vertisol",20
"P0347",580403,4677502,"Vertisol",20
"P0348",574564,4672893,"Vertisol",19
"P0349",572932,4669830,"Complex of Regosol and Vertisol",20
"P0350",575971,4670382,"Vertisol",12
"P0351",578595,4668976,"Vertisol",26
"P0352",575104,4666829,"Complex of Vertisol, Regosol and Leptosol",14
"P0353",574213,4666100,"Complex of Vertisol, Regosol and Leptosol",20
"P0354",577251,4665699,"Complex of Vertisol, Regosol and Leptosol",12
"P0356",582261,4666979,"Vertisol",20
"P0358",585790,4668875,"Vertisol",19
"P0359",573321,4662673,"Complex of Vertisol, Regosol and Leptosol",12
"P0360",570496,4661869,"Complex of Vertisol, Regosol and Leptosol",18
"P0361",572869,4660036,"Vertisol",13
"P0362",570370,4657575,"Vertisol",12
"P0363",576686,4661907,"Complex of Vertisol, Regosol and Leptosol",21
"P0364",574137,4656595,"Vertisol",12
"P0365",579411,4658717,"Complex of Vertisol, Regosol and Leptosol",18
"P0366",580667,4659609,"Complex of Regosol and Vertisol",23
"P0367",578168,4656294,"Complex of Vertisol, Regosol and Leptosol",29
"P0368",573522,4654097,"Complex of Chromic Luvisol on saprolite and Regosol",21
"P0369",580868,4653418,"Complex of Vertisol, Regosol and Leptosol",18
"P0370",587397,4655967,"Complex of Vertisol, Regosol and Leptosol",23
"P0371",584446,4654423,"Complex of Cambisol, Leptosol and Regosol",26
"P0372",586982,4658353,"Complex of Vertisol, Regosol and Leptosol",19
"P0373",585626,4660186,"Fluvisol",20
"P0374",582651,4661090,"Fluvisol",20
"P0375",587786,4668762,"Complex of Vertisol, Regosol and Leptosol",20
"P0376",587824,4670947,"Complex of Cambisol, Leptosol and Regosol",20
"P0377",589582,4674526,"Complex of Cambisol, Leptosol and Regosol",18
"P0378",588477,4678431,"Cambisol",23
"P0379",586789,4665713,"Complex of Vertisol, Regosol and Leptosol",18
"P0380",579657,4655099,"Complex of Vertisol, Regosol and Leptosol",18
"P0381",589434,4669965,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",18
"P0382",590689,4673347,"Complex of Cambisol, Leptosol and Regosol",18
"P0383",594440,4673833,"Complex of Cambisol, Leptosol and Regosol",19
"P0384",598223,4674302,"Complex of Cambisol, Leptosol and Regosol",18
"P0385",598340,4675674,"Complex of Cambisol, Leptosol and Regosol",20
"P0386",601161,4675254,"Complex of Cambisol, Leptosol and Regosol",18
"P0387",595087,4670941,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",17
"P0388",597376,4671449,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",20
"P0389",602970,4672429,"Complex of Chromic Luvisol on saprolite and Regosol",21
"P0390",605079,4670828,"Complex of Chromic Luvisol on saprolite and Regosol",22
"P0391",608488,4678041,"Complex of Cambisol, Leptosol and Regosol",19
"P0392",607951,4675508,"Complex of Cambisol, Leptosol and Regosol",29
"P0393",595558,4676261,"Complex of Cambisol, Leptosol and Regosol",18
"P0394",590699,4669048,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",21
"P0395",590558,4666891,"Complex of Vertisol, Regosol and Leptosol",18
"P0396",596462,4669396,"Fluvisol",20
"P0397",599561,4669745,"Fluvisol",21
"P0398",602301,4669952,"Complex of Chromic Luvisol on saprolite and Regosol",19
"P0399",601293,4664462,"Cambisol",20
"P0400",592865,4663379,"Complex of Cambisol, Leptosol and Regosol",20
"P0401",595012,4661448,"Complex of Cambisol, Leptosol and Regosol",23
"P0402",595106,4657502,"Complex of Cambisol, Leptosol and Regosol",23
"P0403",600107,4657606,"Complex of Cambisol, Leptosol and Regosol",22
"P0404",602725,4657229,"Complex of Cambisol and Regosol",23
"P0405",602310,4660177,"Complex of Cambisol and Regosol",24
"P0406",594155,4654008,"Complex of Vertisol, Regosol and Leptosol",25
"P0407",596406,4653001,"Complex of Vertisol, Regosol and Leptosol",18
"P0408",604787,4653217,"Complex of Cambisol, Leptosol and Regosol",23
"P0409",607141,4652304,"Complex of Cambisol, Leptosol and Regosol",25
"P0410",605898,4655703,"Complex of Cambisol, Leptosol and Regosol",23
"P0411",605277,4658077,"Complex of Cambisol, Leptosol and Regosol",23
"P0412",604034,4665093,"Cambisol",23
"P0413",606077,4664763,"Cambisol",21
"P0414",608548,4667554,"Cambisol",23
"P0415",610381,4668043,"Complex of Mollic and Umbric Leptosol",19
"P0416",614199,4684559,"Cambisol",29
"P0417",616424,4681090,"Cambisol",25
"P0418",617789,4680463,"Cambisol",23
"P0419",612338,4678754,"Complex of Cambisol, Leptosol and Regosol",23
"P0420",612349,4677146,"Complex of Mollic and Umbric Leptosol",24
"P0421",615180,4676195,"Complex of Mollic and Umbric Leptosol",21
"P0422",618143,4676974,"Complex of Mollic and Umbric Leptosol",21
"P0423",619215,4678996,"Complex of Mollic and Umbric Leptosol",26
"P0424",619104,4675163,"Cambisol",22
"P0425",612106,4674607,"Cambisol",23
"P0426",612318,4673171,"Cambisol",22
"P0427",620874,4672878,"Cambisol",23
"P0428",622148,4671998,"Cambisol",23
"P0429",622806,4671108,"Cambisol",23
"P0430",623483,4669763,"Complex of Mollic and Umbric Leptosol",25
"P0431",623220,4669106,"Complex of Mollic and Umbric Leptosol",26
"P0432",612763,4670825,"Cambisol",23
"P0433",612338,4669631,"Complex of Chromic Luvisol on saprolite and Albic Luvisol",23
"P0434",613724,4668832,"Complex of Mollic and Umbric Leptosol",23
"P0435",613137,4668509,"Complex of Cambisol and Regosol",22
"P0436",612005,4667275,"Complex of Cambisol and Regosol",24
"P0437",616212,4666840,"Complex of Mollic and Umbric Leptosol",25
"P0438",616717,4667255,"Cambisol",23
"P0439",617850,4667285,"Cambisol",23
"P0440",617739,4666223,"Complex of Mollic and Umbric Leptosol",26
"P0441",619155,4665809,"Complex of Mollic and Umbric Leptosol",26
"P0442",621511,4666517,"Complex of Mollic and Umbric Leptosol",26
"P0443",614159,4664696,"Cambisol",23
"P0444",613754,4663574,"Cambisol",25
"P0445",616465,4663341,"Cambisol",23
"P0446",618679,4664261,"Complex of Mollic and Umbric Leptosol",26
"P0447",615706,4661258,"Cambisol",23
"P0448",612844,4657708,"Cambisol",23
"P0449",613087,4654634,"Cambisol",23
"P0450",625172,4652843,"Cambisol",23
"P0451",513076,4557397,"Leptosol",19
"P0452",513404,4565503,"Complex of Cambisol, Leptosol and Regosol",29
"P0453",508355,4563122,"Complex of Cambisol, Leptosol and Regosol",25
"P0454",508545,4561087,"Complex of Cambisol, Leptosol and Regosol",19
"P0455",511594,4557324,"Complex of Cambisol, Leptosol and Regosol",23
"P0456",510251,4558853,"Complex of Cambisol, Leptosol and Regosol",23
"P0457",509203,4556833,"Complex of Cambisol, Leptosol and Regosol",21
"P0458",512637,4562453,"Complex of Cambisol, Leptosol and Regosol",23
"P0459",511881,4564447,"Complex of Cambisol, Leptosol and Regosol",29
"P0460",509226,4565908,"Complex of Cambisol, Leptosol and Regosol",23
"P0461",516124,4565089,"Complex of Cambisol, Leptosol and Regosol",23
"P0462",516137,4563228,"Complex of Cambisol, Leptosol and Regosol",26
"P0463",518100,4566963,"Fluvisol",15
"P0464",519662,4566512,"Fluvisol",19
"P0465",517973,4564689,"Fluvisol",20
"P0466",518455,4562301,"Fluvisol",18
"P0467",516944,4561685,"Fluvisol",16
"P0468",516721,4559601,"Fluvisol",19
"P0469",513768,4556711,"Complex of Cambisol, Leptosol and Regosol",23
"P0470",517071,4556978,"Regosol",20
"P0471",519262,4557505,"Regosol",18
"P0472",521142,4557353,"Regosol",20
"P0473",523530,4557378,"Complex of Cambisol, Leptosol and Regosol",18
"P0474",526871,4556756,"Complex of Cambisol, Leptosol and Regosol",18
"P0475",526160,4559677,"Complex of Mollic and Umbric Leptosol",27
"P0476",524432,4561596,"Complex of Cambisol, Leptosol and Regosol",27
"P0477",521803,4561062,"Complex of Cambisol, Leptosol and Regosol",27
"P0478",521771,4563463,"Complex of Cambisol, Leptosol and Regosol",29
"P0479",522190,4565680,"Complex of Cambisol, Leptosol and Regosol",23
"P0480",524331,4564282,"Complex of Cambisol, Leptosol and Regosol",28
"P0481",522535,4556961,"Chromic Luvisol on saprolite",19
"P0482",515887,4559281,"Leptosol",22
"P0483",519597,4564481,"Complex of Cambisol, Leptosol and Regosol",23
"P0484",519224,4560137,"Complex of Cambisol, Leptosol and Regosol",23
"P0485",515483,4565830,"Fluvisol",17
"P0486",486386,4648357,"Complex of Mollic and Umbric Leptosol",26
"P0488",486132,4649864,"Complex of Mollic and Umbric Leptosol",26
"P0489",486217,4646342,"Complex of Mollic and Umbric Leptosol",26
"P0490",485344,4643039,"Complex of Mollic and Umbric Leptosol",26
"P0491",484286,4644055,"Complex of Mollic and Umbric Leptosol",27
"P0492",484269,4640575,"Complex of Mollic and Umbric Leptosol",24
"P0493",486107,4640118,"Complex of Mollic and Umbric Leptosol",29
"P0494",486250,4635596,"Complex of Mollic and Umbric Leptosol",25
"P0495",482432,4634910,"Complex of Mollic and Umbric Leptosol",26
"P0496",483228,4631879,"Complex of Mollic and Umbric Leptosol",26
"P0497",485040,4629728,"Complex of Mollic and Umbric Leptosol",23
"P0498",486403,4628848,"Chromic Luvisol on saprolite",21
"P0499",474023,4631261,"Rendzic Leptosols",26
"P0500",474913,4631540,"Rendzic Leptosols",26
"P0501",503404,4648652,"Fluvisol",2
"P0502",498548,4649334,"Fluvisol",17
"P0503",496432,4649121,"Fluvisol",10
"P0504",495816,4646893,"Fluvisol",12
"P0505",496898,4644628,"Fluvisol",12
"P0506",495503,4644977,"Fluvisol",12
"P0507",494987,4643273,"Fluvisol",12
"P0508",494090,4640533,"Fluvisol",12
"P0509",492707,4638748,"Fluvisol",12
"P0510",494230,4638597,"Fluvisol",12
"P0511",501651,4648862,"Fluvisol",12
"P0512",500581,4648390,"Fluvisol",20
"P0513",499354,4648309,"Fluvisol",12
"P0514",497835,4647519,"Fluvisol",2
"P0515",498698,4646142,"Fluvisol",12
"P0516",499482,4644979,"Fluvisol",17
"P0517",500818,4644775,"Fluvisol",7
"P0518",500571,4642221,"Fluvisol",12
"P0519",501863,4641031,"Chromic Luvisol on saprolite",20
"P0520",498779,4643264,"Fluvisol",12
"P0521",496342,4641658,"Fluvisol",12
"P0522",497331,4640729,"Fluvisol",17
"P0523",496836,4639141,"Fluvisol",12
"P0524",497598,4636717,"Fluvisol",12
"P0525",499687,4635911,"Fluvisol",21
"P0526",498882,4633791,"Populated Site",27
"P0527",496938,4634524,"Fluvisol",12
"P0528",496182,4633201,"Fluvisol",12
"P0529",494392,4633365,"Fluvisol",19
"P0530",495166,4630575,"Fluvisol",12
"P0531",491019,4626966,"Complex of Chromic Luvisol on saprolite and Regosol",20
"P0532",490487,4628936,"Complex of Chromic Luvisol on saprolite and Regosol",20
"P0533",489767,4630986,"Complex of Chromic Luvisol on saprolite and Regosol",13
"P0534",491908,4630601,"Fluvisol",12
"P0535",493322,4629050,"Populated Site",10
"P0536",492375,4632383,"Fluvisol",12
"P0537",491385,4632048,"Fluvisol",12
"P0538",491367,4634629,"Fluvisol",11
"P0539",492702,4635215,"Fluvisol",12
"P0540",494701,4634841,"Fluvisol",12
"P0541",492722,4637012,"Fluvisol",12
"P0542",494885,4637328,"Fluvisol",12
"P0543",488373,4646118,"Complex of Mollic and Umbric Leptosol",26
"P0544",489261,4645496,"Complex of Mollic and Umbric Leptosol",21
"P0545",490854,4645288,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",19
"P0546",491983,4643828,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21
"P0547",492588,4642965,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21
"P0548",492522,4641472,"Fluvisol",6
"P0549",491352,4637929,"Fluvisol",21
"P0550",490456,4638377,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",29
"P0551",489220,4637539,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",22
"P0553",487278,4635274,"Cambisol",25
"P0554",488713,4634685,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",22
"P0555",489244,4633224,"Cambisol",23
"P0556",487494,4632320,"Cambisol",29
"P0557",491252,4624139,"Chromic Luvisol on hard limestones",9
"P0564",502926,4633548,"Rendzic Leptosols",26
"P0569",501292,4638692,"Chromic Luvisol on saprolite",23
"P0574",505648,4645164,"Chromic Luvisol on saprolite",23
"P0577",473250,4619541,"Chromic Luvisol on hard limestones",23
"P0578",477881,4619444,"Cambisol",26
"P0579",481694,4620426,"Cambisol",28
"P0580",480330,4617943,"Cambisol",39
"P0581",478448,4617289,"Chromic Luvisol on hard limestones",23
"P0582",478848,4615934,"Cambisol",41
"P0583",470064,4614497,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",23
"P0584",466772,4613042,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",20
"P0585",465763,4609105,"Chromic Luvisol on saprolite",21
"P0586",474229,4610996,"Gleysol",26
"P0587",475138,4611242,"Gleysol",26
"P0589",475756,4610787,"Gleysol",26
"P0590",476856,4609987,"Rendzic Leptosols",26
"P0591",477566,4613842,"Cambisol",17
"P0592",477557,4607923,"Complex of Mollic and Umbric Leptosol",26
"P0593",466354,4608068,"Chromic Luvisol on saprolite",23
"P0594",467873,4606341,"Chromic Luvisol on saprolite",23
"P0595",468718,4604959,"Rendzic Leptosols",21
"P0596",467291,4600148,"Rendzic Leptosols",23
"P0597",469846,4599467,"Chromic Luvisol on saprolite",22
"P0598",473801,4601221,"Chromic Luvisol on saprolite",23
"P0599",472765,4602449,"Cambisol",23
"P0600",474101,4602931,"Cambisol",23
"P0601",475120,4601612,"Chromic Luvisol on saprolite",23
"P0602",475902,4599667,"Chromic Luvisol on saprolite",21
"P0604",474492,4597739,"Chromic Luvisol on hard limestones",23
"P0605",477475,4600667,"Chromic Luvisol on saprolite",24
"P0608",479166,4599412,"Complex of Mollic and Umbric Leptosol",27
"P0609",483285,4605450,"Complex of Mollic and Umbric Leptosol",26
"P0610",482921,4605786,"Rendzic Leptosols",26
"P0611",476402,4606377,"Complex of Mollic and Umbric Leptosol",27
"P0612",480103,4608159,"Complex of Mollic and Umbric Leptosol",26
"P0613",481803,4607159,"Rendzic Leptosols",26
"P0614",482239,4606477,"Rendzic Leptosols",27
"P0615",483049,4610796,"Rendzic Leptosols",26
"P0616",481794,4611833,"Complex of Mollic and Umbric Leptosol",26
"P0617",483594,4612497,"Rendzic Leptosols",26
"P0618",484358,4618571,"Cambisol",23
"P0619",484285,4621017,"Cambisol",23
"P0620",487383,4614611,"Chromic Luvisol on hard limestones",23
"P0622",490961,4614343,"Rendzic Leptosols",29
"P0623",496722,4614444,"Cambisol",24
"P0624",496759,4613529,"Rendzic Leptosols",25
"P0625",497055,4612873,"Rendzic Leptosols",29
"P0626",486616,4612124,"Cambisol",23
"P0627",491294,4612105,"Cambisol",23
"P0628",489722,4610034,"Cambisol",23
"P0629",487429,4609387,"Cambisol",23
"P0630",489907,4608212,"Cambisol",23
"P0631",486699,4605439,"Complex of Mollic and Umbric Leptosol",23
"P0632",489759,4604616,"Cambisol",23
"P0633",490508,4602665,"Cambisol",23
"P0634",489787,4600677,"Complex of Mollic and Umbric Leptosol",27
"P0635",500744,4596821,"Chromic Luvisol on saprolite",23
"P0636",505311,4597699,"Chromic Luvisol on saprolite",23
"P0637",504128,4601888,"Chromic Luvisol on saprolite",23
"P0638",505385,4603238,"Cambisol",25
"P0639",504729,4604505,"Cambisol",21
"P0640",504655,4607815,"Cambisol",29
"P0641",502112,4608786,"Chromic Luvisol on saprolite",29
"P0642",500208,4608444,"Chromic Luvisol on saprolite",20
"P0643",499912,4606835,"Chromic Luvisol on saprolite",23
"P0644",499986,4604736,"Chromic Luvisol on saprolite",9
"P0645",499209,4603913,"Chromic Luvisol on saprolite",25
"P0646",507507,4591888,"Mollic Fluvisol",13
"P0647",495095,4608321,"Fluvisol",20
"P0648",495809,4607204,"Fluvisol",20
"P0649",497307,4606164,"Cambisol",20
"P0650",495918,4604968,"Albic Luvisol",20
"P0651",496958,4605426,"Fluvisol",20
"P0652",498052,4605690,"Fluvisol",29
"P0653",497928,4600855,"Gleysol",20
"P0654",498502,4600909,"Gleysol",20
"P0655",496942,4598527,"Fluvisol",9
"P0656",499092,4599272,"Fluvisol",20
"P0657",500714,4599869,"Fluvisol",20
"P0658",501785,4600801,"Cambisol",19
"P0659",501475,4603106,"Fluvisol",21
"P0660",500962,4604759,"Fluvisol",20
