"","id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR"
"4","P0003",4653815,485379,26.38,0.730448285788492,8,5.31830631503171,2.16
"5","P0004",4653725,485085,24.5616666666667,0.895532029548956,6.30531609195402,6.18265711643289,2.63
"7","P0006",4653877,486156,19.94,0.788623527402856,14,4.05708950919454,2.11
"8","P0007",4653203,486492,6.14911435565658,1.16533551414808,18.6335897884245,1.74916171179648,2.85
"9","P0008",4656242,485564,3.94035195212311,1.29625820001075,31.875748076375,1.04387748958293,2.65
"10","P0009",4652933,495075,3.25854484732824,1.34462965138917,21.714058524173,1.0290380178008,3.16
"11","P0010",4651945,494798,2.28930163415046,1.4129644627769,14.46088316115,0.830080619389937,3.63
"12","P0011",4651760,492500,3.91280281751902,1.29802860034846,27.3030950474164,1.10766746670597,2.83
"13","P0012",4652388,493700,4.55127795572862,1.27203426419382,22.9949428235233,1.33743496155552,2.94
"14","P0013",4651714,490922,7.3533919905747,1.11679499869389,26.0004816470867,1.82310350427713,2.49
"15","P0014",4653025,489842,9.91299294519566,1.0100217783126,21.3590835606219,2.36213848804949,2.4
"16","P0015",4650948,490414,7.69773464284083,1.10075855237726,16.3997184553145,2.12512264518071,2.77
"17","P0016",4654049,488864,7.78259185700099,1.09686667236032,12.40317775571,2.24330178782093,2.89
"18","P0017",4654345,493525,3.57977303251631,1.32087884921465,21.5836387613259,1.1123627026765,3.11
"19","P0018",4660935,497549,7.0017807112069,1.13673892940264,38.8981681034483,1.45896449813909,2.09
"20","P0019",4659430,499810,8.29248556717116,1.06813331198055,34.1128101107817,1.75078341461088,2.12
"21","P0020",4655785,497899,7.06,1.12234650264188,44,1.33119273985349,1.89
"22","P0021",4662817,498748,5.45288682340077,1.21370035611373,46.212684527064,1.06792090256138,1.96
"23","P0022",4662254,500871,7.9213925729443,1.08408306750129,15.6135512560462,2.17399260992782,2.75
"24","P0023",4660676,502874,2.562100456621,1.39241823697287,29.5464231354642,0.75403266150765,2.94
"25","P0024",4663085,506400,2.26246232086535,1.41468749219132,33.0047945640439,0.643290068968658,2.84
"26","P0025",4657944,502117,1.47,1.47726206158845,39,0.397398267187909,2.7
"27","P0026",4658064,500908,2.93071865235231,1.36948165980761,41.9454038373666,0.699017763149982,2.39
"28","P0027",4651641,501800,2.77809429403177,1.3750877637163,1.13281875441288,1.13305451851839,4.08
"29","P0028",4651960,505840,6.71775624886342,1.13897797637707,1.98563460445579,2.24983441207482,3.36
