ProfID,X_coord,Y_coord,Year,Soil_Type
P1276,7591265,4632108,2012,Complex of Chernozem …
P1277,7592027,4631664,2012,Complex of Chernozem …
P1278,7592704,4631941,2012,Complex of Chernozem …
P1279,7590817,4633115,2013,Complex of Chernozem …
